Fecha;anio;mes;dia;mes_t
1/01/2018;2018;1;1;enero
2/01/2018;2018;1;2;enero
3/01/2018;2018;1;3;enero
4/01/2018;2018;1;4;enero
5/01/2018;2018;1;5;enero
6/01/2018;2018;1;6;enero
7/01/2018;2018;1;7;enero
8/01/2018;2018;1;8;enero
9/01/2018;2018;1;9;enero
10/01/2018;2018;1;10;enero
11/01/2018;2018;1;11;enero
12/01/2018;2018;1;12;enero
13/01/2018;2018;1;13;enero
14/01/2018;2018;1;14;enero
15/01/2018;2018;1;15;enero
16/01/2018;2018;1;16;enero
17/01/2018;2018;1;17;enero
18/01/2018;2018;1;18;enero
19/01/2018;2018;1;19;enero
20/01/2018;2018;1;20;enero
21/01/2018;2018;1;21;enero
22/01/2018;2018;1;22;enero
23/01/2018;2018;1;23;enero
24/01/2018;2018;1;24;enero
25/01/2018;2018;1;25;enero
26/01/2018;2018;1;26;enero
27/01/2018;2018;1;27;enero
28/01/2018;2018;1;28;enero
29/01/2018;2018;1;29;enero
30/01/2018;2018;1;30;enero
31/01/2018;2018;1;31;enero
1/02/2018;2018;2;1;febrero
2/02/2018;2018;2;2;febrero
3/02/2018;2018;2;3;febrero
4/02/2018;2018;2;4;febrero
5/02/2018;2018;2;5;febrero
6/02/2018;2018;2;6;febrero
7/02/2018;2018;2;7;febrero
8/02/2018;2018;2;8;febrero
9/02/2018;2018;2;9;febrero
10/02/2018;2018;2;10;febrero
11/02/2018;2018;2;11;febrero
12/02/2018;2018;2;12;febrero
13/02/2018;2018;2;13;febrero
14/02/2018;2018;2;14;febrero
15/02/2018;2018;2;15;febrero
16/02/2018;2018;2;16;febrero
17/02/2018;2018;2;17;febrero
18/02/2018;2018;2;18;febrero
19/02/2018;2018;2;19;febrero
20/02/2018;2018;2;20;febrero
21/02/2018;2018;2;21;febrero
22/02/2018;2018;2;22;febrero
23/02/2018;2018;2;23;febrero
24/02/2018;2018;2;24;febrero
25/02/2018;2018;2;25;febrero
26/02/2018;2018;2;26;febrero
27/02/2018;2018;2;27;febrero
28/02/2018;2018;2;28;febrero
1/03/2018;2018;3;1;marzo
2/03/2018;2018;3;2;marzo
3/03/2018;2018;3;3;marzo
4/03/2018;2018;3;4;marzo
5/03/2018;2018;3;5;marzo
6/03/2018;2018;3;6;marzo
7/03/2018;2018;3;7;marzo
8/03/2018;2018;3;8;marzo
9/03/2018;2018;3;9;marzo
10/03/2018;2018;3;10;marzo
11/03/2018;2018;3;11;marzo
12/03/2018;2018;3;12;marzo
13/03/2018;2018;3;13;marzo
14/03/2018;2018;3;14;marzo
15/03/2018;2018;3;15;marzo
16/03/2018;2018;3;16;marzo
17/03/2018;2018;3;17;marzo
18/03/2018;2018;3;18;marzo
19/03/2018;2018;3;19;marzo
20/03/2018;2018;3;20;marzo
21/03/2018;2018;3;21;marzo
22/03/2018;2018;3;22;marzo
23/03/2018;2018;3;23;marzo
24/03/2018;2018;3;24;marzo
25/03/2018;2018;3;25;marzo
26/03/2018;2018;3;26;marzo
27/03/2018;2018;3;27;marzo
28/03/2018;2018;3;28;marzo
29/03/2018;2018;3;29;marzo
30/03/2018;2018;3;30;marzo
31/03/2018;2018;3;31;marzo
1/04/2018;2018;4;1;abril
2/04/2018;2018;4;2;abril
3/04/2018;2018;4;3;abril
4/04/2018;2018;4;4;abril
5/04/2018;2018;4;5;abril
6/04/2018;2018;4;6;abril
7/04/2018;2018;4;7;abril
8/04/2018;2018;4;8;abril
9/04/2018;2018;4;9;abril
10/04/2018;2018;4;10;abril
11/04/2018;2018;4;11;abril
12/04/2018;2018;4;12;abril
13/04/2018;2018;4;13;abril
14/04/2018;2018;4;14;abril
15/04/2018;2018;4;15;abril
16/04/2018;2018;4;16;abril
17/04/2018;2018;4;17;abril
18/04/2018;2018;4;18;abril
19/04/2018;2018;4;19;abril
20/04/2018;2018;4;20;abril
21/04/2018;2018;4;21;abril
22/04/2018;2018;4;22;abril
23/04/2018;2018;4;23;abril
24/04/2018;2018;4;24;abril
25/04/2018;2018;4;25;abril
